"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
47,"ko","word","animals",0.14,0.22,0.31,0.38,0.57,0.57,0.69,0.74,0.84,0.88,0.92,0.95,0.94,0.95,0.99,0.98,0.99,0.99,1,1,1
48,"zebra","word","animals",0.01,0,0.04,0.05,0.12,0.13,0.21,0.25,0.28,0.38,0.46,0.47,0.51,0.59,0.57,0.64,0.68,0.75,0.71,0.74,0.75
49,"får","word","animals",0.03,0.03,0.09,0.16,0.26,0.31,0.46,0.48,0.63,0.71,0.74,0.82,0.77,0.84,0.86,0.87,0.88,0.93,0.93,0.96,0.93
50,"krokodille","word","animals",0.01,0.01,0.04,0.07,0.15,0.15,0.28,0.34,0.44,0.58,0.6,0.64,0.69,0.79,0.84,0.86,0.9,0.89,0.88,0.95,0.93
51,"æsel","word","animals",0.01,0.01,0.02,0.03,0.07,0.09,0.2,0.22,0.24,0.31,0.37,0.46,0.38,0.46,0.53,0.58,0.64,0.66,0.62,0.73,0.59
52,"giraf","word","animals",0.04,0.03,0.13,0.14,0.23,0.26,0.43,0.48,0.59,0.72,0.76,0.78,0.78,0.85,0.9,0.9,0.93,0.93,0.95,0.96,0.99
53,"kylling (animal)","word","animals",0.02,0.03,0.07,0.11,0.17,0.25,0.39,0.41,0.48,0.6,0.67,0.72,0.67,0.77,0.82,0.85,0.9,0.91,0.83,0.94,0.92
54,"gris","word","animals",0.05,0.07,0.17,0.21,0.34,0.38,0.54,0.62,0.73,0.82,0.87,0.89,0.88,0.9,0.94,0.96,0.97,0.96,0.99,0.98,1
55,"lam","word","animals",0.01,0.02,0.02,0.06,0.1,0.14,0.26,0.31,0.4,0.41,0.49,0.53,0.49,0.56,0.62,0.58,0.59,0.71,0.69,0.72,0.74
56,"barnevogn","word","vehicles",0.04,0.07,0.14,0.16,0.29,0.3,0.49,0.47,0.62,0.67,0.77,0.81,0.82,0.85,0.9,0.92,0.95,0.96,0.97,0.98,0.98
57,"flyvemaskine","word","vehicles",0.03,0.05,0.09,0.16,0.25,0.29,0.49,0.52,0.68,0.74,0.84,0.86,0.85,0.85,0.9,0.94,0.95,0.97,0.98,0.97,0.98
58,"motorcykel","word","vehicles",0.01,0.01,0.07,0.05,0.18,0.2,0.33,0.36,0.48,0.59,0.68,0.66,0.74,0.8,0.86,0.87,0.95,0.9,0.92,0.94,0.92
59,"bil","word","vehicles",0.19,0.3,0.46,0.54,0.77,0.81,0.84,0.88,0.93,0.95,0.96,0.96,0.96,0.97,0.99,1,0.99,0.99,1,1,1
60,"helikopter","word","vehicles",0.02,0,0.06,0.03,0.08,0.1,0.19,0.22,0.28,0.43,0.46,0.43,0.5,0.56,0.61,0.66,0.71,0.77,0.73,0.75,0.76
61,"skib","word","vehicles",0.03,0.05,0.09,0.12,0.2,0.27,0.42,0.46,0.58,0.7,0.81,0.76,0.81,0.82,0.93,0.93,0.94,0.96,0.98,0.94,0.98
62,"brandbil","word","vehicles",0.02,0.01,0.04,0.05,0.12,0.14,0.26,0.31,0.4,0.54,0.51,0.59,0.61,0.66,0.71,0.78,0.8,0.86,0.89,0.91,0.89
63,"klapvogn","word","vehicles",0.01,0.05,0.12,0.13,0.22,0.24,0.45,0.43,0.5,0.62,0.71,0.78,0.79,0.79,0.88,0.88,0.9,0.95,0.9,0.93,0.93
64,"tog","word","vehicles",0.05,0.1,0.21,0.33,0.39,0.47,0.65,0.64,0.74,0.83,0.89,0.9,0.92,0.92,0.97,0.96,0.96,0.99,0.99,0.98,1
65,"bus","word","vehicles",0.11,0.12,0.31,0.35,0.49,0.55,0.74,0.75,0.82,0.88,0.94,0.93,0.92,0.93,0.97,0.97,0.99,0.99,0.99,1,1
66,"kælk","word","vehicles",0,0,0.01,0.01,0.03,0.03,0.09,0.11,0.13,0.15,0.28,0.3,0.32,0.43,0.5,0.3,0.38,0.51,0.41,0.56,0.6
67,"traktor","word","vehicles",0.16,0.16,0.41,0.43,0.53,0.59,0.66,0.72,0.8,0.86,0.96,0.93,0.91,0.92,0.96,0.98,0.98,0.99,0.98,0.98,0.96
