"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
107,"jogurt","word","food_drink",0,0.12,0.14,0.14,0.27,0.17,0.29,0.42,0.43,0.47,0.69,0.8,0.81,0.64,0.79
108,"juha","word","food_drink",0,0.2,0.18,0.33,0.46,0.45,0.54,0.65,0.8,0.8,0.83,1,0.95,0.89,0.89
109,"kašica","word","food_drink",0,0,0,0.05,0.04,0.03,0.17,0.23,0.13,0.2,0.28,0.2,0.33,0.46,0.43
110,"kava","word","food_drink",0.08,0.24,0.23,0.48,0.54,0.52,0.54,0.65,0.7,0.8,0.97,0.92,0.9,0.93,0.93
111,"keks","word","food_drink",0.08,0.32,0.36,0.43,0.62,0.52,0.62,0.77,0.8,0.9,0.93,1,1,0.96,0.96
112,"kelj","word","food_drink",0,0.04,0.09,0.05,0.04,0.07,0.08,0.19,0.2,0.2,0.28,0.28,0.43,0.39,0.46
113,"kobasica","word","food_drink",0,0.12,0.18,0.19,0.19,0.17,0.25,0.35,0.53,0.57,0.48,0.68,0.76,0.71,0.64
114,"koka (piletina)","word","food_drink",0.08,0.36,0.45,0.62,0.54,0.59,0.67,0.73,0.8,0.83,0.9,0.92,0.86,0.82,0.86
115,"kokice","word","food_drink",0,0.04,0,0,0.12,0.14,0.29,0.31,0.47,0.43,0.45,0.6,0.62,0.71,0.71
116,"kolač","word","food_drink",0.08,0.2,0.18,0.33,0.42,0.41,0.46,0.69,0.73,0.8,0.9,0.92,0.9,0.86,0.89
117,"krafna","word","food_drink",0,0,0.05,0.1,0.12,0.07,0.04,0.31,0.2,0.17,0.21,0.52,0.43,0.5,0.46
118,"krastavac","word","food_drink",0,0,0.05,0.14,0.04,0.1,0.21,0.27,0.37,0.4,0.45,0.48,0.67,0.57,0.61
119,"kruh","word","food_drink",0.15,0.28,0.36,0.48,0.69,0.59,0.79,0.73,0.9,0.93,0.93,0.96,1,1,0.89
120,"krumpir","word","food_drink",0,0.12,0.18,0.38,0.38,0.38,0.46,0.42,0.73,0.83,0.76,0.84,1,0.89,0.93
121,"kruška","word","food_drink",0,0,0.14,0.1,0.23,0.14,0.21,0.54,0.33,0.5,0.45,0.52,0.71,0.68,0.79
122,"kukuruz","word","food_drink",0,0,0,0.1,0,0.03,0,0.15,0.23,0.13,0.1,0.16,0.24,0.36,0.25
123,"lizalica","word","food_drink",0,0.08,0.14,0.14,0.35,0.17,0.29,0.38,0.5,0.67,0.59,0.8,0.67,0.82,0.75
124,"mahune","word","food_drink",0,0,0,0,0.04,0,0.04,0.15,0.17,0.17,0.17,0.24,0.19,0.39,0.29
125,"marmelada","word","food_drink",0,0,0,0.05,0.12,0.03,0.12,0.31,0.3,0.33,0.28,0.4,0.62,0.29,0.54
126,"maslac","word","food_drink",0,0,0,0,0.12,0,0.04,0.19,0.3,0.17,0.41,0.4,0.38,0.32,0.5
127,"med","word","food_drink",0,0.12,0.14,0.14,0.38,0.14,0.17,0.38,0.57,0.4,0.76,0.72,0.67,0.57,0.71
128,"meso","word","food_drink",0.08,0.28,0.23,0.48,0.5,0.62,0.67,0.65,0.97,0.83,0.93,0.96,1,1,0.96
129,"mlijeko","word","food_drink",0.38,0.28,0.32,0.33,0.54,0.48,0.62,0.73,0.87,0.9,0.9,0.96,1,0.89,0.93
130,"mrkve","word","food_drink",0,0.08,0.09,0.19,0.38,0.24,0.38,0.46,0.63,0.6,0.66,0.96,1,0.71,0.89
131,"naranča","word","food_drink",0,0.12,0.14,0.1,0.31,0.28,0.25,0.5,0.5,0.63,0.76,0.84,0.76,0.71,0.86
132,"njoke","word","food_drink",0,0,0.05,0,0.04,0,0.12,0.12,0.27,0.17,0.14,0.08,0.1,0.14,0.32
133,"orasi","word","food_drink",0,0.04,0,0.1,0.08,0.1,0.04,0.19,0.43,0.3,0.28,0.32,0.29,0.36,0.39
134,"palačinka","word","food_drink",0,0,0.05,0.19,0.12,0.14,0.21,0.38,0.43,0.47,0.59,0.72,0.81,0.71,0.79
135,"pecivo","word","food_drink",0,0.04,0.09,0.05,0.04,0.03,0.25,0.19,0.23,0.17,0.45,0.32,0.33,0.5,0.68
136,"piće","word","food_drink",0,0,0,0.14,0.04,0.17,0.25,0.27,0.33,0.3,0.45,0.28,0.48,0.39,0.54
