"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
61,"蛋","word","food_drink",0.13,0.21,0.27,0.3,0.58,0.51,0.54,0.68,0.71,0.77,0.88,0.9,0.88,0.92,0.94
62,"飯","word","food_drink",0.11,0.26,0.33,0.33,0.58,0.6,0.63,0.69,0.76,0.89,0.85,0.94,0.95,0.94,0.93
63,"米","word","food_drink",0.02,0.07,0.03,0.06,0.07,0.1,0.17,0.18,0.22,0.31,0.28,0.26,0.29,0.55,0.43
64,"粥","word","food_drink",0.11,0.26,0.29,0.26,0.36,0.44,0.48,0.49,0.59,0.69,0.76,0.74,0.89,0.85,0.82
65,"麵","word","food_drink",0.11,0.13,0.24,0.3,0.42,0.5,0.57,0.65,0.72,0.88,0.87,0.94,0.89,0.94,0.93
66,"通心粉","word","food_drink",0,0.03,0.05,0.12,0.16,0.31,0.32,0.26,0.31,0.34,0.51,0.6,0.65,0.58,0.6
67,"意粉","word","food_drink",0,0,0,0.02,0.01,0.01,0.06,0.11,0.12,0.09,0.16,0.15,0.21,0.31,0.25
68,"點心","word","food_drink",0,0,0,0.02,0.01,0.01,0.03,0.03,0.09,0.11,0.07,0.11,0.15,0.2,0.15
69,"腸粉","word","food_drink",0,0.02,0,0.03,0.03,0.08,0.1,0.18,0.16,0.28,0.25,0.35,0.47,0.48,0.47
70,"蝦餃","word","food_drink",0,0,0,0.02,0.01,0.03,0.02,0.07,0.19,0.22,0.21,0.21,0.42,0.39,0.31
71,"燒賣","word","food_drink",0,0.02,0,0.03,0.03,0.04,0.08,0.09,0.19,0.29,0.22,0.23,0.45,0.35,0.35
72,"麵包/包包","word","food_drink",0.6,0.62,0.77,0.68,0.85,0.86,0.89,0.88,0.94,0.97,0.96,1,0.97,0.97,1
73,"叉燒包/其他中式包","word","food_drink",0,0.03,0,0.02,0.1,0.06,0.08,0.12,0.28,0.22,0.31,0.29,0.32,0.42,0.35
74,"漢堡包/其他西式包","word","food_drink",0,0.03,0.02,0,0.07,0.06,0.16,0.15,0.26,0.37,0.28,0.32,0.38,0.55,0.49
75,"餅(乾)","word","food_drink",0.29,0.36,0.53,0.55,0.71,0.67,0.75,0.8,0.85,0.94,0.88,0.97,0.95,0.97,0.96
76,"蛋糕","word","food_drink",0.02,0.2,0.17,0.23,0.38,0.38,0.41,0.51,0.65,0.63,0.72,0.76,0.85,0.92,0.88
77,"薯條","word","food_drink",0.02,0.13,0.09,0.15,0.29,0.29,0.3,0.49,0.59,0.69,0.69,0.84,0.86,0.87,0.87
78,"薯片","word","food_drink",0,0.05,0,0.09,0.08,0.12,0.19,0.31,0.22,0.4,0.33,0.4,0.56,0.65,0.49
79,"肉","word","food_drink",0.04,0.13,0.23,0.21,0.36,0.39,0.38,0.55,0.62,0.68,0.64,0.73,0.77,0.76,0.78
80,"雞(肉)","word","food_drink",0.02,0.05,0.05,0.09,0.12,0.14,0.17,0.19,0.31,0.38,0.37,0.45,0.52,0.46,0.53
81,"豬(肉)","word","food_drink",0,0.02,0.02,0.03,0.01,0.08,0.08,0.11,0.16,0.2,0.25,0.18,0.26,0.34,0.38
82,"牛(肉)","word","food_drink",0,0,0,0,0,0.06,0.03,0.03,0.09,0.09,0.15,0.18,0.15,0.21,0.22
83,"魚","word","food_drink",0.2,0.33,0.47,0.55,0.64,0.67,0.78,0.77,0.87,0.97,0.88,0.98,0.95,0.96,0.99
84,"蝦","word","food_drink",0,0.11,0.18,0.21,0.29,0.29,0.46,0.46,0.62,0.68,0.67,0.74,0.79,0.8,0.81
85,"蟹","word","food_drink",0,0.05,0.05,0.05,0.08,0.12,0.13,0.23,0.26,0.29,0.36,0.39,0.44,0.44,0.5
86,"魚蛋","word","food_drink",0,0.02,0,0.09,0.07,0.08,0.16,0.28,0.22,0.31,0.31,0.34,0.58,0.59,0.51
87,"雞翼","word","food_drink",0,0.02,0,0.03,0.08,0.11,0.19,0.27,0.16,0.43,0.46,0.39,0.64,0.61,0.46
88,"雞脾","word","food_drink",0,0.03,0,0.02,0.01,0.06,0.03,0.14,0.15,0.17,0.15,0.21,0.33,0.31,0.25
89,"腸仔","word","food_drink",0.02,0.07,0.08,0.12,0.26,0.33,0.32,0.47,0.53,0.6,0.6,0.69,0.85,0.83,0.78
90,"火腿","word","food_drink",0,0,0,0.02,0.04,0.07,0.1,0.09,0.24,0.25,0.27,0.32,0.53,0.42,0.53
91,"叉燒","word","food_drink",0,0,0.02,0.03,0.05,0.01,0.08,0.15,0.19,0.23,0.28,0.31,0.36,0.39,0.34
92,"菜","word","food_drink",0.16,0.28,0.33,0.44,0.56,0.61,0.73,0.8,0.81,0.88,0.87,0.9,0.94,0.96,0.91
93,"白菜","word","food_drink",0,0,0,0,0.01,0,0.02,0.04,0.01,0.06,0.1,0.06,0.09,0.11,0.15
94,"蕃茄","word","food_drink",0.02,0.08,0.02,0.06,0.1,0.1,0.17,0.23,0.25,0.28,0.49,0.39,0.58,0.62,0.54
95,"粟米","word","food_drink",0,0.07,0.05,0.06,0.16,0.11,0.25,0.32,0.43,0.48,0.49,0.6,0.7,0.73,0.76
96,"蘿蔔","word","food_drink",0.02,0.03,0.06,0.09,0.11,0.17,0.29,0.23,0.29,0.42,0.43,0.48,0.53,0.61,0.66
97,"瓜","word","food_drink",0.07,0.16,0.18,0.23,0.27,0.26,0.48,0.36,0.47,0.65,0.46,0.55,0.7,0.65,0.76
98,"(冬/磨)菇","word","food_drink",0,0.05,0.08,0.11,0.19,0.12,0.27,0.3,0.35,0.45,0.49,0.52,0.62,0.59,0.63
99,"豆","word","food_drink",0.02,0.1,0.14,0.27,0.26,0.25,0.38,0.47,0.49,0.54,0.58,0.81,0.7,0.69,0.71
100,"豆腐","word","food_drink",0,0.02,0.03,0.06,0.07,0.14,0.24,0.23,0.29,0.29,0.36,0.45,0.5,0.59,0.56
101,"花生","word","food_drink",0,0.03,0.02,0.03,0.12,0.08,0.25,0.3,0.35,0.38,0.48,0.52,0.59,0.66,0.68
102,"水果/生果","word","food_drink",0.02,0.1,0.08,0.09,0.15,0.15,0.14,0.34,0.35,0.34,0.28,0.34,0.36,0.59,0.51
103,"橙","word","food_drink",0.16,0.26,0.27,0.35,0.58,0.57,0.57,0.69,0.81,0.89,0.88,0.94,0.94,0.99,0.93
104,"(香)蕉","word","food_drink",0.09,0.18,0.26,0.32,0.42,0.46,0.49,0.54,0.74,0.72,0.7,0.87,0.89,0.92,0.85
105,"蘋果","word","food_drink",0.07,0.18,0.24,0.27,0.33,0.39,0.44,0.57,0.63,0.75,0.75,0.85,0.85,0.86,0.87
106,"提子","word","food_drink",0.02,0.1,0.09,0.2,0.23,0.28,0.37,0.46,0.56,0.54,0.7,0.79,0.76,0.8,0.76
107,"西瓜","word","food_drink",0.07,0.03,0.05,0.17,0.21,0.19,0.32,0.45,0.5,0.58,0.61,0.69,0.64,0.76,0.76
108,"梨","word","food_drink",0,0.03,0.05,0.03,0.07,0.04,0.21,0.2,0.22,0.26,0.33,0.34,0.44,0.51,0.46
109,"芒果","word","food_drink",0,0.03,0,0.02,0.07,0.08,0.14,0.16,0.22,0.38,0.39,0.4,0.53,0.54,0.54
110,"糖(果)","word","food_drink",0.11,0.2,0.3,0.35,0.53,0.57,0.67,0.76,0.76,0.86,0.9,0.97,0.94,0.92,0.97
111,"朱古力","word","food_drink",0,0.07,0.08,0.08,0.22,0.17,0.29,0.39,0.44,0.54,0.64,0.74,0.8,0.86,0.81
112,"雪糕","word","food_drink",0.02,0.11,0.18,0.2,0.32,0.43,0.41,0.51,0.59,0.77,0.75,0.87,0.88,0.93,0.91
